"JLCPCB BOM Tool - BOM Matching","","","","","","","","","","","","","","","","","","","","",""
"BOM name：bom-JLCPCB Assembly Order.xlsx","","","","Download Time：2026-05-17 00:22:18","","","","* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.","","","","","","","","","","","","",""
"PCB Assembled Qty：2","","","","Est. Total Price：30.4661
(Pre-order parts require a quotation for final pricing.)","","","","","","","","","","","","","","","","",""
"Your BOM","","","","Matched Parts","","","","","","","Order Information","","","","","","","","","",""
"Designator","Comment","Footprint","JLCPCB Part #","Matches","Part # ","Manufacturer","Footprint","Description","Category","Warning","JLCPCB Part #","Product link","Source","Lib Type","MOQ","Availability","My Parts(JLCPCB Parts)","My Parts(Global sourcing & consigned parts)","Rec. Order Qty","Unit Price ($)","Total Price ($)"
"DS1","OLED_128X64_1.3_I2C","LCD_OLED_128X64_1.3_I2C","","Unconfirmed","2.54-1*4P母","BOOMELE(Boom Precision Elec)","LCD_OLED_128X64_1.3_I2C","-40℃~+105℃ 1 1x4P 2.54mm 3A 4P Bronze Square Hole Through Hole Top 插件,P=2.54mm Female Headers ROHS","Female Headers","1.Multiple lines in the BOM have been matched to the same part. Please check if the matching is correct. ;","C2718488","https://jlcpcb.com/partdetail/2834502-2_54_1_4P/C2718488","In-stock","Extended","1","241065","0","0","4","0.0771","0.3084"
"D1,D4","LED BLUE","0603","","Select by System","KT-0603B","Hubei KENTO Elec","0603","100mW 120° 175mcd 3.1V 460nm~475nm 469nm 5mA Blue Discrete Diode Water Clear 0603 LED Indication - Discrete ROHS","LED Indication - Discrete","","C2288","https://jlcpcb.com/partdetail/Hubei_KENTOElec-KT0603B/C2288","In-stock","Extended","1","116396","0","0","20","0.0101","0.202"
"D5","LED YELLOW","0603","","Select by System","KT-0603O","Hubei KENTO Elec","0603","-40℃~+85℃ 1.6mm x 0.8mm square LED 1.8V~2.4V 120° 175mcd 20mA 40mW 598nm~608nm 612nm Discrete Diode Orange Water Clear 0603 LED Indication - Discrete ROHS","LED Indication - Discrete","","C111340","https://jlcpcb.com/partdetail/Hubei_KENTOElec-KT0603O/C111340","In-stock","Extended","1","7234","0","0","20","0.0115","0.23"
"R13","59k","0603","","Select by System","RCT0359KFLF","HKR(Hong Kong Resistors)","0603","-55℃~+155℃ 100mW 59kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","","C177513","https://jlcpcb.com/partdetail/HKR_Hong_Kong_Resistors-RCT0359KFLF/C177513","In-stock","Extended","1","20832","0","0","20","0.0013","0.026"
"R16","2.2k","0603","","Unconfirmed","0603WAF2201T5E","UNI-ROYAL(Uniroyal Elec)","0603","-55℃~+155℃ 100mW 2.2kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","1.The comment (0603WAF2201T5E) of this part does not match the one (2.2k) provided in your BOM. Please confirm;","C4190","https://jlcpcb.com/partdetail/4597-0603WAF2201T5E/C4190","In-stock","Basic","1","4090475","0","0","20","0.0015","0.03"
"D2","LED RED","0603","","Select by System","KT-0603R","Hubei KENTO Elec","0603","-40℃~+85℃ 1.8V~2.4V 120° 20mA 300mcd 40mW 615nm~630nm 645nm Discrete Diode Red Water Clear 0603 LED Indication - Discrete ROHS","LED Indication - Discrete","","C2286","https://jlcpcb.com/partdetail/Hubei_KENTOElec-KT0603R/C2286","In-stock","Basic","1","6630232","0","0","20","0.0066","0.132"
"R5","1.2k","0603","","Unconfirmed","0603WAF1201T5E","UNI-ROYAL(Uniroyal Elec)","0603","-55℃~+155℃ 1.2kΩ 100mW 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","1.The comment (0603WAF1201T5E) of this part does not match the one (1.2k) provided in your BOM. Please confirm;","C22765","https://jlcpcb.com/partdetail/23492-0603WAF1201T5E/C22765","In-stock","Basic","1","1429841","0","0","20","0.0014","0.028"
"C16,L1","2n2","0603","","Unconfirmed","0603B222K500NT","FH (Guangdong Fenghua Advanced Tech)","0603","2.2nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Multilayer Ceramic Capacitors MLCC - SMD/SMT","1.The comment (0603B222K500NT) of this part does not match the one (2n2) provided in your BOM. Please confirm;
2.There may be multiple types of parts, but one type of part has been matched. Please check.;","C1604","https://jlcpcb.com/partdetail/1956-0603B222K500NT/C1604","In-stock","Basic","1","700837","0","0","20","0.003","0.06"
"R7","100","0603","","Select by System","0603WAF1000T5E","UNI-ROYAL(Uniroyal Elec)","0603","-55℃~+155℃ 100mW 100Ω 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","","C22775","https://jlcpcb.com/partdetail/23502-0603WAF1000T5E/C22775","In-stock","Basic","1","5698953","0","0","20","0.0019","0.038"
"R20,R21","4.7k","0603","","Unconfirmed","0603WAF4701T5E","UNI-ROYAL(Uniroyal Elec)","0603","-55℃~+155℃ 100mW 4.7kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","1.The comment (0603WAF4701T5E) of this part does not match the one (4.7k) provided in your BOM. Please confirm;","C23162","https://jlcpcb.com/partdetail/23889-0603WAF4701T5E/C23162","In-stock","Basic","1","12074984","0","0","20","0.0013","0.026"
"R14","560","0603","","Select by System","0603WAF5600T5E","UNI-ROYAL(Uniroyal Elec)","0603","-55℃~+155℃ 100mW 560Ω 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","","C23204","https://jlcpcb.com/partdetail/23931-0603WAF5600T5E/C23204","In-stock","Basic","1","1450623","0","0","20","0.0014","0.028"
"C14","1u","0603","","Unconfirmed","CL10A105KB8NNNC","Samsung Electro-Mechanics","0603","1uF 50V X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Multilayer Ceramic Capacitors MLCC - SMD/SMT","1.The comment (CL10A105KB8NNNC) of this part does not match the one (1u) provided in your BOM. Please confirm;","C15849","https://jlcpcb.com/partdetail/16531-CL10A105KB8NNNC/C15849","In-stock","Basic","1","8553357","0","0","20","0.0076","0.152"
"IC1","LM66200DRLR","SOT8","","Select by System","LM66200DRLR","Texas Instruments","SOT8","-40℃~+125℃ 1.32uA 1.6V~5.5V 2 74mΩ Reverse current blocking、Over temperature protection、With enable SOT-583 ORing Controllers ROHS","ORing Controllers","","C3235556","https://jlcpcb.com/partdetail/TexasInstruments-LM66200DRLR/C3235556","In-stock","Extended","1","9100","0","0","5","0.3973","1.9865"
"R15,R17","47","0603","","Select by System","0603WAF470JT5E","UNI-ROYAL(Uniroyal Elec)","0603","-55℃~+155℃ 100mW 47Ω 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","","C23182","https://jlcpcb.com/partdetail/23909-0603WAF470JT5E/C23182","In-stock","Basic","1","3199651","0","0","20","0.0014","0.028"
"C6","22p","0603","","Unconfirmed","CL10C220JB8NNNC","Samsung Electro-Mechanics","0603","22pF 50V C0G ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Multilayer Ceramic Capacitors MLCC - SMD/SMT","1.The comment (CL10C220JB8NNNC) of this part does not match the one (22p) provided in your BOM. Please confirm;","C1653","https://jlcpcb.com/partdetail/2005-CL10C220JB8NNNC/C1653","In-stock","Basic","1","2920758","0","0","20","0.0039","0.078"
"R12","267k","0603","","Unconfirmed","FRC0603F2673TS","FOJAN","0603","-55℃~+155℃ 100mW 267kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","1.The comment (FRC0603F2673TS) of this part does not match the one (267k) provided in your BOM. Please confirm;","C2998118","https://jlcpcb.com/partdetail/FOJAN-FRC0603F2673TS/C2998118","In-stock","Extended","1","50522","0","0","20","0.0012","0.024"
"D3","LED GREEN","0603","","Select by System","KT-0603G","Hubei KENTO Elec","0603","-40℃~+85℃ 100mW 120° 3.1V 430mcd 513nm~528nm 525nm 5mA Discrete Diode Emerald Green Water Clear 0603 LED Indication - Discrete ROHS","LED Indication - Discrete","","C12624","https://jlcpcb.com/partdetail/Hubei_KENTOElec-KT0603G/C12624","In-stock","Extended","1","192888","0","0","20","0.012","0.24"
"C3","10u","0603","","Unconfirmed","CL10A106KP8NNNC","Samsung Electro-Mechanics","0603","10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Multilayer Ceramic Capacitors MLCC - SMD/SMT","1.The comment (CL10A106KP8NNNC) of this part does not match the one (10u) provided in your BOM. Please confirm;","C19702","https://jlcpcb.com/partdetail/20411-CL10A106KP8NNNC/C19702","In-stock","Basic","1","4856075","0","0","20","0.0102","0.204"
"R11","10k","0603","","Unconfirmed","0603WAF1002T5E","UNI-ROYAL(Uniroyal Elec)","0603","-55℃~+155℃ 100mW 10kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","1.The comment (0603WAF1002T5E) of this part does not match the one (10k) provided in your BOM. Please confirm;","C25804","https://jlcpcb.com/partdetail/26547-0603WAF1002T5E/C25804","Pre-order","Basic","5000","11257570","0","0","5000","0.0007","3.5"
